id,distfed,distlocal,municipio,seccion,casilla,ubicacion,casilla_tipo
1,DF1,DL03,ALTAR,34,B1,"AVENIDA FELIX GOMEZ, NUMERO 47, COLONIA LAS LOMAS, CODIGO POSTAL 83750, ALTAR, SONORA.",URBANA
2,DF1,DL03,ALTAR,34,C1,"AVENIDA FELIX GOMEZ, NUMERO 47, COLONIA LAS LOMAS, CODIGO POSTAL 83750, ALTAR, SONORA.",URBANA
3,DF1,DL03,ALTAR,35,B1,"AVENIDA FRANCISCO I. MADERO, ENTRE CALLE JOSE MARIA MORELOS Y CALLE FELIX GOMEZ, NUMERO 7, COLONIA BARRIO DE ABAJO, CODIGO POSTAL 83750, ALTAR, SONORA.",URBANA
4,DF1,DL03,ALTAR,35,C1,"AVENIDA FRANCISCO I. MADERO, ENTRE CALLE JOSE MARIA MORELOS Y CALLE FELIX GOMEZ, NUMERO 7, COLONIA BARRIO DE ABAJO, CODIGO POSTAL 83750, ALTAR, SONORA.",URBANA
5,DF1,DL03,ALTAR,35,C2,"AVENIDA FRANCISCO I. MADERO, ENTRE CALLE JOSE MARIA MORELOS Y CALLE FELIX GOMEZ, NUMERO 7, COLONIA BARRIO DE ABAJO, CODIGO POSTAL 83750, ALTAR, SONORA.",URBANA
6,DF1,DL03,ALTAR,35,C3,"AVENIDA FRANCISCO I. MADERO, ENTRE CALLE JOSE MARIA MORELOS Y CALLE FELIX GOMEZ, NUMERO 7, COLONIA BARRIO DE ABAJO, CODIGO POSTAL 83750, ALTAR, SONORA.",URBANA
7,DF1,DL03,ALTAR,35,S1,"CALLE JOSE MARIA MORELOS ENTRE AVENIDA OCAMPO Y AVENIDA FRANCISCO I. MADERO, COLONIA CENTRO, CODIGO POSTAL 83750, ALTAR, SONORA.",URBANA
8,DF1,DL03,ALTAR,37,B1,"DOMICILIO CONOCIDO, EJIDO LLANO BLANCO, CODIGO POSTAL 83750, ALTAR, SONORA.",RURAL
9,DF1,DL03,ATIL,46,B1,"AVENIDA FRANCISCO I. MADERO, NUMERO 23, COLONIA CENTRO, CODIGO POSTAL 83420, ATIL, SONORA.",RURAL
10,DF1,DL03,ATIL,46,C1,"AVENIDA FRANCISCO I. MADERO, NUMERO 23, COLONIA CENTRO, CODIGO POSTAL 83420, ATIL, SONORA.",RURAL
11,DF1,DL03,OQUITOA,232,B1,"BOULEVARD FRANCISCO EUSEBIO KINO Y CALLE CANAL, COLONIA CENTRO, CODIGO POSTAL 83840, OQUITOA, SONORA.",RURAL
12,DF1,DL03,SARIC,265,B1,"AVENIDA INDEPENDENCIA ENTRE CALLE MIGUEL HIDALGO Y CALLE VICENTE GUERRERO, NUMERO 72, COLONIA CENTRO, CODIGO POSTAL 83860, SARIC, SONORA. ",RURAL
13,DF1,DL03,SARIC,265,C1,"AVENIDA INDEPENDENCIA ENTRE CALLE MIGUEL HIDALGO Y CALLE VICENTE GUERRERO, NUMERO 72, COLONIA CENTRO, CODIGO POSTAL 83860, SARIC, SONORA. ",RURAL
14,DF1,DL03,SARIC,266,B1,"CALLE HIDALGO Y AVENIDA NINOS HEROES, EJIDO EL SASABE,CODIGO POSTAL 83860, SARIC, SONORA.",RURAL
15,DF1,DL03,SARIC,266,C1,"CALLE HIDALGO Y AVENIDA NINOS HEROES, EJIDO EL SASABE,CODIGO POSTAL 83860, SARIC, SONORA.",RURAL
