"","x"
"1","23 CONTIGUA 4"
"2","288 BASICA"
"3","96 BASICA"
"4","22 CONTIGUA 2"
"5","94 CONTIGUA 1"
"6","24 CONTIGUA 8"
"7","151 CONTIGUA 1"
"8","31 CONTIGUA 1"
"9","155 BASICA"
"10","153 BASICA"
"11","149 BASICA"
"12","31 CONTIGUA 2"
"13","20 CONTIGUA 3"
"14","8 CONTIGUA 3"
"15","22 CONTIGUA 4"
"16","255 BASICA"
"17","325 BASICA"
"18","1362 BASICA"
"19","320 CONTIGUA 1"
"20","66 CONTIGUA 1"
"21","630 EXTRAORDINARIA 1"
"22","295 ESPECIAL 1"
"23","292 CONTIGUA 1"
"24","1363 BASICA"
"25","293 BASICA"
"26","67 BASICA"
"27","312 CONTIGUA 1"
"28","304 BASICA"
"29","252 BASICA"
"30","35 CONTIGUA 2"
"31","1365 BASICA"
"32","753 BASICA"
"33","54 CONTIGUA 1"
"34","2 CONTIGUA 1"
"35","63 EXTRAORDINARIA 1"
"36","744 BASICA"
"37","746 CONTIGUA 3"
"38","129 CONTIGUA 2"
"39","130 CONTIGUA 3"
"40","123 CONTIGUA 1"
"41","73 CONTIGUA 2"
"42","74 CONTIGUA 1"
"43","79 BASICA"
"44","126 CONTIGUA 1"
"45","749 BASICA"
"46","80 BASICA"
"47","1015 CONTIGUA 1"
"48","763 BASICA"
"49","1018 BASICA"
"50","770 BASICA"
"51","1021 BASICA"
"52","1016 BASICA"
"53","769 BASICA"
"54","1005 BASICA"
"55","995 CONTIGUA 1"
"56","1104 BASICA"
"57","1095 CONTIGUA 1"
"58","994 BASICA"
"59","1098 CONTIGUA 2"
"60","1013 ESPECIAL 1"
"61","1184 CONTIGUA 1"
"62","1297 BASICA"
"63","1165 CONTIGUA 1"
"64","1142 BASICA"
"65","1168 CONTIGUA 1"
"66","1175 BASICA"
"67","1161 CONTIGUA 1"
"68","1157 BASICA"
"69","1188 CONTIGUA 1"
"70","1260 CONTIGUA 1"
"71","1260 CONTIGUA 4"
"72","1177 BASICA"
"73","1140 BASICA"
"74","1152 BASICA"
"75","1269 CONTIGUA 1"
"76","1171 BASICA"
"77","1172 BASICA"
"78","1085 BASICA"
"79","1090 BASICA"
"80","1519 CONTIGUA 1"
"81","1054 CONTIGUA 1"
"82","1079 CONTIGUA 1"
"83","1054 BASICA"
"84","1038 BASICA"
"85","1024 CONTIGUA 1"
"86","1061 BASICA"
"87","1519 BASICA"
"88","1048 ESPECIAL 1"
"89","1045 CONTIGUA 2"
"90","1066 BASICA"
"91","1041 BASICA"
"92","1523 BASICA"
"93","1059 CONTIGUA 2"
"94","533 BASICA"
"95","533 CONTIGUA 3"
"96","476 CONTIGUA 1"
"97","536 CONTIGUA 2"
"98","502 BASICA"
"99","536 CONTIGUA 1"
"100","532 CONTIGUA 11"
"101","443 BASICA"
"102","532 CONTIGUA 16"
"103","462 BASICA"
"104","465 BASICA"
"105","522 BASICA"
"106","521 CONTIGUA 1"
"107","379 CONTIGUA 1"
"108","503 BASICA"
"109","524 CONTIGUA 3"
"110","504 BASICA"
"111","398 CONTIGUA 1"
"112","524 CONTIGUA 1"
"113","604 BASICA"
"114","615 BASICA"
"115","1506 BASICA"
"116","1400 BASICA"
"117","569 BASICA"
"118","1445 BASICA"
"119","539 BASICA"
"120","555 BASICA"
"121","567 CONTIGUA 1"
"122","1494 BASICA"
"123","560 BASICA"
"124","570 BASICA"
"125","569 CONTIGUA 5"
"126","1461 BASICA"
"127","543 CONTIGUA 1"
"128","601 CONTIGUA 12"
"129","544 BASICA"
"130","1466 BASICA"
"131","1488 BASICA"
"132","1489 BASICA"
"133","566 BASICA"
"134","1481 BASICA"
"135","381 CONTIGUA 1"
"136","371 CONTIGUA 1"
"137","355 CONTIGUA 1"
"138","342 CONTIGUA 5"
"139","340 CONTIGUA 2"
"140","390 CONTIGUA 1"
"141","361 BASICA"
"142","392 CONTIGUA 1"
"143","393 CONTIGUA 2"
"144","358 BASICA"
"145","390 CONTIGUA 2"
"146","343 CONTIGUA 4"
"147","340 BASICA"
"148","394 BASICA"
"149","360 CONTIGUA 1"
"150","394 CONTIGUA 1"
"151","407 BASICA"
"152","343 CONTIGUA 3"
"153","429 CONTIGUA 2"
"154","377 CONTIGUA 1"
"155","1348 BASICA"
"156","1341 BASICA"
"157","447 CONTIGUA 1"
"158","350 CONTIGUA 1"
"159","351 CONTIGUA 2"
"160","428 CONTIGUA 1"
"161","400 BASICA"
"162","1338 BASICA"
"163","1340 CONTIGUA 1"
"164","1332 CONTIGUA 3"
"165","402 CONTIGUA 1"
"166","353 BASICA"
"167","425 CONTIGUA 1"
"168","365 CONTIGUA 2"
"169","366 BASICA"
"170","1356 BASICA"
"171","1344 BASICA"
"172","366 CONTIGUA 1"
"173","351 BASICA"
"174","404 BASICA"
"175","589 BASICA"
"176","589 CONTIGUA 2"
"177","1546 BASICA"
"178","1544 BASICA"
"179","1554 CONTIGUA 1"
"180","516 BASICA"
"181","548 CONTIGUA 1"
"182","547 BASICA"
"183","512 CONTIGUA 1"
"184","513 CONTIGUA 1"
"185","582 CONTIGUA 2"
"186","495 BASICA"
"187","511 CONTIGUA 1"
"188","1545 BASICA"
"189","1540 BASICA"
"190","1539 BASICA"
"191","1548 BASICA"
"192","1552 CONTIGUA 2"
"193","1132 BASICA"
"194","1120 BASICA"
"195","1122 BASICA"
"196","1129 BASICA"
"197","1217 CONTIGUA 2"
"198","1216 BASICA"
"199","1227 BASICA"
"200","1219 BASICA"
"201","1109 CONTIGUA 2"
"202","1196 BASICA"
"203","1190 CONTIGUA 2"
"204","1211 CONTIGUA 1"
"205","1194 BASICA"
"206","1198 BASICA"
"207","1287 BASICA"
