"","x"
"1","1374 BASICA"
"2","439 ESPECIAL 1"
"3","214 CONTIGUA 9"
"4","541 BASICA"
"5","781 CONTIGUA 1"
"6","531 CONTIGUA 1"
"7","786 CONTIGUA 2"
"8","999 CONTIGUA 1"
"9","857 CONTIGUA 3"
"10","78 CONTIGUA 1"
"11","384 BASICA"
"12","427 CONTIGUA 2"
"13","505 CONTIGUA 1"
"14","389 BASICA"
"15","484 CONTIGUA 1"
"16","588 BASICA"
"17","1550 CONTIGUA 2"
"18","1203 CONTIGUA 3"
"19","802 CONTIGUA 1"
"20","43 BASICA"
"21","1462 BASICA"
"22","1528 BASICA"
"23","1169 BASICA"
"24","1356 BASICA"
"25","396 CONTIGUA 1"
"26","401 CONTIGUA 1"
"27","1010 BASICA"
"28","511 BASICA"
"29","1287 CONTIGUA 1"
"30","248 BASICA"
"31","956 EXTRAORDINARIA 1 CONTIGUA 1"
"32","814 BASICA"
"33","449 CONTIGUA 4"
"34","747 BASICA"
"35","75 CONTIGUA 1"
"36","295 BASICA"
"37","748 BASICA"
"38","755 BASICA"
"39","533 BASICA"
"40","566 CONTIGUA 1"
"41","501 BASICA"
"42","238 BASICA"
"43","1285 BASICA"
"44","810 BASICA"
"45","668 BASICA"
"46","822 CONTIGUA 1"
"47","1261 CONTIGUA 5"
"48","577 BASICA"
"49","1402 BASICA"
"50","804 BASICA"
"51","795 BASICA"
"52","571 CONTIGUA 12"
"53","1332 CONTIGUA 2"
"54","311 BASICA"
"55","973 CONTIGUA 1"
"56","341 CONTIGUA 1"
"57","337 CONTIGUA 2"
"58","813 BASICA"
"59","221 CONTIGUA 8"
"60","729 CONTIGUA 10"
"61","304 BASICA"
"62","698 BASICA"
"63","163 CONTIGUA 1"
"64","1085 BASICA"
"65","340 EXTRAORDINARIA 1"
"66","316 BASICA"
"67","525 BASICA"
"68","1088 BASICA"
"69","304 CONTIGUA 2"
"70","301 BASICA"
"71","407 BASICA"
"72","833 BASICA"
"73","340 CONTIGUA 4"
"74","291 BASICA"
"75","1471 BASICA"
"76","225 CONTIGUA 1"
"77","1069 CONTIGUA 1"
"78","671 BASICA"
"79","226 CONTIGUA 1"
"80","161 BASICA"
"81","1054 BASICA"
"82","1365 BASICA"
"83","122 BASICA"
"84","1107 BASICA"
"85","1514 BASICA"
"86","672 BASICA"
"87","638 CONTIGUA 7"
"88","569 CONTIGUA 6"
"89","294 CONTIGUA 2"
"90","1144 BASICA"
"91","1158 EXTRAORDINARIA 1"
"92","888 BASICA"
"93","24 CONTIGUA 5"
"94","1095 BASICA"
"95","1072 BASICA"
"96","926 BASICA"
"97","533 CONTIGUA 2"
"98","605 BASICA"
"99","632 CONTIGUA 4"
"100","977 CONTIGUA 1"
"101","1298 EXTRAORDINARIA 1"
"102","247 BASICA"
"103","963 BASICA"
"104","501 CONTIGUA 2"
"105","1310 CONTIGUA 1"
"106","1083 CONTIGUA 1"
"107","1146 CONTIGUA 1"
"108","226 BASICA"
"109","429 BASICA"
"110","1332 CONTIGUA 9"
"111","41 CONTIGUA 1"
"112","20 CONTIGUA 5"
"113","1404 BASICA"
"114","742 BASICA"
"115","608 BASICA"
"116","980 BASICA"
"117","997 BASICA"
"118","880 BASICA"
"119","678 CONTIGUA 1"
"120","180 CONTIGUA 1"
"121","343 CONTIGUA 1"
"122","54 CONTIGUA 1"
"123","1105 BASICA"
"124","349 BASICA"
"125","498 CONTIGUA 1"
"126","1556 CONTIGUA 1"
"127","1310 BASICA"
"128","1250 CONTIGUA 1"
"129","1477 BASICA"
"130","1208 BASICA"
"131","834 BASICA"
"132","156 BASICA"
"133","648 CONTIGUA 1"
"134","1217 CONTIGUA 1"
"135","456 BASICA"
"136","206 BASICA"
"137","598 BASICA"
"138","490 BASICA"
"139","843 BASICA"
"140","873 CONTIGUA 1"
"141","7 BASICA"
"142","163 BASICA"
"143","633 CONTIGUA 1"
"144","768 CONTIGUA 2"
"145","1293 BASICA"
"146","357 BASICA"
"147","342 CONTIGUA 1"
"148","294 CONTIGUA 1"
"149","708 BASICA"
"150","319 CONTIGUA 4"
"151","217 CONTIGUA 1"
"152","1530 BASICA"
"153","1303 CONTIGUA 2"
"154","353 CONTIGUA 1"
"155","780 CONTIGUA 1"
"156","1139 ESPECIAL 1"
"157","1184 CONTIGUA 1"
"158","887 CONTIGUA 2"
"159","345 CONTIGUA 3"
"160","840 BASICA"
"161","1147 CONTIGUA 1"
"162","1260 CONTIGUA 1"
"163","467 BASICA"
"164","73 CONTIGUA 3"
"165","499 BASICA"
"166","10 CONTIGUA 2"
"167","909 BASICA"
"168","1318 BASICA"
"169","1371 BASICA"
"170","887 CONTIGUA 5"
"171","661 CONTIGUA 11"
"172","593 CONTIGUA 1"
"173","75 BASICA"
"174","64 CONTIGUA 1"
"175","292 BASICA"
"176","566 BASICA"
"177","910 CONTIGUA 3"
"178","561 BASICA"
"179","910 CONTIGUA 4"
"180","329 CONTIGUA 1"
"181","1142 BASICA"
"182","413 CONTIGUA 2"
"183","1503 BASICA"
"184","1419 BASICA"
"185","114 BASICA"
"186","153 CONTIGUA 1"
"187","41 BASICA"
"188","857 CONTIGUA 1"
"189","1307 BASICA"
"190","234 BASICA"
"191","786 CONTIGUA 4"
"192","658 ESPECIAL 1"
"193","473 BASICA"
"194","294 BASICA"
"195","72 BASICA"
"196","372 CONTIGUA 1"
"197","316 CONTIGUA 1"
"198","844 CONTIGUA 1"
"199","1201 CONTIGUA 2"
"200","711 CONTIGUA 1"
"201","1303 CONTIGUA 1"
"202","364 CONTIGUA 1"
"203","139 CONTIGUA 1"
"204","1303 CONTIGUA 3"
"205","947 BASICA"
"206","1116 BASICA"
"207","156 CONTIGUA 1"
"208","374 CONTIGUA 4"
"209","404 CONTIGUA 1"
"210","1026 CONTIGUA 1"
"211","1164 BASICA"
"212","959 CONTIGUA 1"
"213","579 BASICA"
"214","804 CONTIGUA 1"
"215","534 CONTIGUA 1"
"216","1325 CONTIGUA 1"
"217","359 CONTIGUA 1"
"218","1161 BASICA"
"219","256 BASICA"
"220","1251 CONTIGUA 2"
"221","386 BASICA"
"222","264 CONTIGUA 1"
"223","511 CONTIGUA 1"
"224","447 BASICA"
"225","1049 BASICA"
"226","46 BASICA"
"227","669 BASICA"
"228","746 CONTIGUA 1"
"229","1112 BASICA"
"230","453 BASICA"
"231","601 CONTIGUA 2"
"232","626 CONTIGUA 1"
"233","208 BASICA"
"234","219 CONTIGUA 1"
"235","830 BASICA"
"236","400 CONTIGUA 2"
"237","581 BASICA"
"238","316 CONTIGUA 2"
"239","970 BASICA"
"240","62 BASICA"
"241","635 CONTIGUA 1"
"242","498 CONTIGUA 2"
"243","642 CONTIGUA 1"
"244","6 CONTIGUA 1"
"245","582 CONTIGUA 2"
"246","1011 BASICA"
"247","169 BASICA"
"248","781 BASICA"
"249","1108 BASICA"
"250","437 BASICA"
"251","951 EXTRAORDINARIA 1 CONTIGUA 2"
"252","336 CONTIGUA 7"
"253","647 BASICA"
"254","1090 CONTIGUA 1"
"255","1333 CONTIGUA 1"
"256","71 BASICA"
"257","1216 CONTIGUA 1"
"258","496 CONTIGUA 1"
"259","1195 BASICA"
"260","552 BASICA"
"261","532 CONTIGUA 7"
"262","638 CONTIGUA 12"
"263","374 CONTIGUA 10"
"264","430 CONTIGUA 1"
"265","1003 BASICA"
"266","1203 CONTIGUA 1"
"267","375 CONTIGUA 1"
"268","729 CONTIGUA 1"
"269","803 CONTIGUA 1"
"270","207 CONTIGUA 2"
"271","1141 CONTIGUA 2"
"272","1056 BASICA"
"273","1445 BASICA"
"274","1295 CONTIGUA 1"
"275","915 CONTIGUA 3"
"276","764 BASICA"
"277","1191 CONTIGUA 1"
"278","1350 CONTIGUA 1"
"279","1294 BASICA"
"280","632 CONTIGUA 2"
"281","1425 BASICA"
"282","1556 CONTIGUA 2"
"283","351 BASICA"
"284","899 BASICA"
"285","474 BASICA"
"286","844 BASICA"
"287","936 EXTRAORDINARIA 1"
"288","1177 BASICA"
"289","773 CONTIGUA 2"
"290","510 BASICA"
"291","1130 BASICA"
"292","1479 BASICA"
"293","911 CONTIGUA 3"
"294","359 CONTIGUA 5"
"295","361 BASICA"
"296","1352 CONTIGUA 1"
"297","1326 CONTIGUA 2"
"298","1467 BASICA"
"299","1013 BASICA"
